Timestamp,Ambient Temperature,SoC Peak Temperature,Power Consumption,Average PE Utilization
2025-03-04 22:31:21,58.0,89.374,107.0,98.4810332239112
2025-03-04 22:31:23,58.0,90.304,108.0,98.67647393775438
2025-03-04 22:31:25,58.0,89.56,108.0,98.99290463291652
2025-03-04 22:31:27,58.0,89.746,113.0,98.80484334119079
2025-03-04 22:31:29,58.0,89.932,111.0,98.58779268260986
2025-03-04 22:31:31,58.0,89.932,109.0,98.64169186475658
2025-03-04 22:31:33,58.0,89.746,104.0,98.52596703269275
2025-03-04 22:31:35,58.0,89.56,104.0,98.62083882309274
2025-03-04 22:31:37,58.0,90.118,110.0,98.84736751042779
2025-03-04 22:31:39,58.0,89.746,111.0,98.88350382020651
2025-03-04 22:31:41,58.0,89.932,111.0,98.7921537609511
2025-03-04 22:31:43,58.0,90.304,109.0,98.48377379109546
2025-03-04 22:31:45,58.0,90.304,110.0,98.52479328915979
2025-03-04 22:31:47,58.0,90.304,112.0,98.7763005473636
2025-03-04 22:31:49,58.0,89.746,111.0,98.93165364129013
2025-03-04 22:31:51,58.0,89.746,105.0,98.83245964700342
2025-03-04 22:31:53,58.0,89.56,102.0,98.45091816862553
2025-03-04 22:31:55,58.0,89.932,101.0,98.5606156373905
2025-03-04 22:31:57,58.0,89.932,108.0,98.7611061162101
2025-03-04 22:31:59,58.0,90.304,111.0,98.7282179350717
2025-03-04 22:32:01,58.0,90.118,114.0,98.72173835721077
2025-03-04 22:32:03,58.0,89.932,109.0,98.88460667161115
2025-03-04 22:32:05,58.0,89.746,106.0,99.06869508184343
2025-03-04 22:32:07,58.0,89.56,101.0,98.87097941510616
2025-03-04 22:32:09,58.0,89.746,100.0,98.94866343137815
2025-03-04 22:32:11,58.0,89.746,100.0,99.07496372406038
2025-03-04 22:32:13,58.0,89.56,100.0,98.75568746900355
2025-03-04 22:32:15,58.0,89.56,100.0,98.66480210803954
2025-03-04 22:32:17,58.0,89.56,98.0,98.87707893102109
2025-03-04 22:32:19,58.0,89.56,96.0,98.62447675646645
2025-03-04 22:32:21,58.0,89.932,99.0,98.50987999215597
2025-03-04 22:32:23,58.0,89.932,107.0,98.63602901078251
2025-03-04 22:32:25,58.0,89.932,109.0,98.51007172338478
2025-03-04 22:32:27,58.0,89.932,110.0,98.7442659360041
2025-03-04 22:32:29,58.0,89.932,110.0,98.63290480064633
2025-03-04 22:32:31,58.0,90.304,114.0,98.90324338629338
2025-03-04 22:32:33,58.0,89.932,112.0,98.93795185090937
2025-03-04 22:32:35,59.0,89.56,104.0,98.71973225494216
2025-03-04 22:32:37,59.0,89.746,99.0,99.01168316508017
2025-03-04 22:32:39,58.0,89.932,101.0,98.95998265631854
2025-03-04 22:32:41,59.0,89.932,102.0,98.88510605842478
2025-03-04 22:32:43,58.0,89.56,100.0,98.71312732400041
2025-03-04 22:32:45,59.0,89.746,98.0,98.87823537471533
2025-03-04 22:32:47,59.0,89.932,98.0,99.07125096680355
2025-03-04 22:32:49,59.0,89.746,101.0,99.00535106848771
2025-03-04 22:32:51,59.0,89.746,100.0,98.91430670909199
2025-03-04 22:32:53,59.0,89.746,100.0,98.70527519228173
2025-03-04 22:32:55,59.0,89.56,97.0,98.75942840068788
2025-03-04 22:32:57,59.0,89.746,97.0,98.76943133963017
2025-03-04 22:32:59,59.0,89.746,98.0,98.88012033891738
2025-03-04 22:33:01,59.0,89.746,99.0,98.73531455167593
2025-03-04 22:33:03,58.0,89.746,99.0,98.84132441100297
2025-03-04 22:33:05,59.0,89.56,99.0,99.0264714078086
2025-03-04 22:33:07,58.0,89.932,102.0,98.64072812565584
2025-03-04 22:33:09,59.0,90.49,106.0,98.79427982238029
2025-03-04 22:33:11,58.0,90.304,108.0,99.0093319995097
2025-03-04 22:33:13,59.0,89.932,105.0,98.96648432953361
2025-03-04 22:33:15,58.0,89.746,101.0,98.95707933864193
2025-03-04 22:33:17,59.0,89.932,98.0,99.00113171002498
2025-03-04 22:33:19,59.0,89.746,100.0,98.92313865144823
2025-03-04 22:33:21,59.0,90.304,103.0,98.97305766234439
2025-03-04 22:33:23,59.0,89.932,104.0,98.90574920464823
2025-03-04 22:33:25,59.0,89.932,102.0,98.88688466812137
2025-03-04 22:33:27,59.0,89.746,99.0,98.95489406988635
2025-03-04 22:33:29,59.0,89.374,98.0,98.92124976663615
2025-03-04 22:33:31,59.0,89.56,98.0,98.84585827921049
2025-03-04 22:33:33,59.0,89.746,100.0,98.83561681379337
2025-03-04 22:33:35,59.0,90.304,103.0,98.625154811415
2025-03-04 22:33:37,59.0,89.932,105.0,98.90922604348336
2025-03-04 22:33:39,59.0,90.118,104.0,99.1691540548304
2025-03-04 22:33:41,59.0,89.746,101.0,98.91450128892963
2025-03-04 22:33:43,59.0,89.746,100.0,98.92784453316415
2025-03-04 22:33:45,59.0,89.746,99.0,98.82198703735038
2025-03-04 22:33:47,59.0,89.746,100.0,98.88691049382945
2025-03-04 22:33:49,59.0,89.746,98.0,98.76947805048266
2025-03-04 22:33:51,59.0,89.746,96.0,98.96687247139776
2025-03-04 22:33:53,59.0,89.746,97.0,98.95237870146278
2025-03-04 22:33:55,59.0,90.118,99.0,98.89434042490419
2025-03-04 22:33:57,59.0,89.932,100.0,98.83110232685384
2025-03-04 22:33:59,59.0,89.746,99.0,98.8151954368454
2025-03-04 22:34:01,59.0,89.932,99.0,98.85112347671024
2025-03-04 22:34:03,59.0,89.56,100.0,98.73139298598701
2025-03-04 22:34:05,59.0,89.746,99.0,98.96987612882812
2025-03-04 22:34:07,59.0,89.932,99.0,98.78725191473119
2025-03-04 22:34:09,59.0,89.746,98.0,98.72602165843242
2025-03-04 22:34:11,59.0,89.746,99.0,98.90202484332849
2025-03-04 22:34:13,59.0,89.746,98.0,98.96240000952375
2025-03-04 22:34:15,59.0,89.746,97.0,99.06456118062997
2025-03-04 22:34:17,59.0,89.932,98.0,98.88334824940043
2025-03-04 22:34:19,59.0,89.932,100.0,99.07897648500006
2025-03-04 22:34:21,59.0,90.118,100.0,98.85374228073246
2025-03-04 22:34:23,59.0,89.932,98.0,98.65709633635787
2025-03-04 22:34:25,59.0,90.118,98.0,99.20813489180381
2025-03-04 22:34:27,59.0,90.118,100.0,99.02664964543902
2025-03-04 22:34:29,59.0,90.304,100.0,99.13546155803414
2025-03-04 22:34:31,59.0,89.746,98.0,98.89881786242847
2025-03-04 22:34:33,59.0,89.932,99.0,98.88248871234474
2025-03-04 22:34:35,59.0,89.746,102.0,98.798129804548
2025-03-04 22:34:37,59.0,89.932,102.0,98.8519204462003
2025-03-04 22:34:39,59.0,89.932,101.0,99.0323567401997
2025-03-04 22:34:41,59.0,89.746,97.0,98.77089523826074
2025-03-04 22:34:43,59.0,90.304,98.0,98.91549123471873
2025-03-04 22:34:45,59.0,89.56,99.0,99.01482056461795
2025-03-04 22:34:47,59.0,89.932,100.0,99.20273682749426
2025-03-04 22:34:49,59.0,89.56,101.0,98.73155840795239
2025-03-04 22:34:51,59.0,89.56,100.0,98.8336567642797
2025-03-04 22:34:53,59.0,89.56,100.0,98.78177269584216
2025-03-04 22:34:55,59.0,90.118,99.0,99.3114901733245
2025-03-04 22:34:57,59.0,89.932,100.0,98.89114704864414
2025-03-04 22:34:59,59.0,89.746,98.0,98.88873495042142
2025-03-04 22:35:01,59.0,90.118,100.0,99.0349160865942
2025-03-04 22:35:03,59.0,89.932,100.0,99.0456617875776
2025-03-04 22:35:05,59.0,89.932,102.0,98.88496041595212
2025-03-04 22:35:07,59.0,90.304,101.0,99.0634158499414
2025-03-04 22:35:09,59.0,89.932,99.0,98.84476422512952
2025-03-04 22:35:11,59.0,89.932,100.0,99.02776539337843
2025-03-04 22:35:13,59.0,89.746,99.0,98.9473603297697
2025-03-04 22:35:15,59.0,89.746,100.0,98.84346576454247
2025-03-04 22:35:17,59.0,89.56,99.0,98.94961518269947
2025-03-04 22:35:19,59.0,89.746,99.0,98.7936480878531
2025-03-04 22:35:21,59.0,90.118,99.0,99.08085750713835
2025-03-04 22:35:23,59.0,89.932,101.0,98.96907832936944
2025-03-04 22:35:25,59.0,89.56,100.0,98.78200708045392
2025-03-04 22:35:27,59.0,89.746,98.0,98.95913140383243
2025-03-04 22:35:29,59.0,89.932,98.0,98.8392221464314
2025-03-04 22:35:31,59.0,90.118,99.0,99.01673100657503
2025-03-04 22:35:33,59.0,89.746,100.0,99.07862413557781
2025-03-04 22:35:35,59.0,89.746,99.0,98.86943945826404
2025-03-04 22:35:37,59.0,89.932,98.0,99.01831915045338
2025-03-04 22:35:39,59.0,89.56,99.0,98.95032913541698
2025-03-04 22:35:41,59.0,89.932,100.0,98.66224697104451
2025-03-04 22:35:43,59.0,89.56,99.0,98.78165142532897
2025-03-04 22:35:45,59.0,89.932,98.0,99.01040520692494
2025-03-04 22:35:47,59.0,90.118,98.0,99.06038874359761
2025-03-04 22:35:49,59.0,89.56,97.0,98.6701613082252
2025-03-04 22:35:51,59.0,89.56,97.0,98.6979174009426
2025-03-04 22:35:53,59.0,89.56,99.0,98.74384783774612
2025-03-04 22:35:55,59.0,89.932,100.0,99.04899037995604
2025-03-04 22:35:57,59.0,89.932,99.0,99.07501017061833
2025-03-04 22:35:59,59.0,89.746,98.0,98.64013585036625
2025-03-04 22:36:01,59.0,89.56,96.0,98.9735966583609
2025-03-04 22:36:03,59.0,89.746,97.0,99.07488315180534
2025-03-04 22:36:05,59.0,89.932,97.0,98.97603369342704
2025-03-04 22:36:07,59.0,89.932,98.0,98.7895849408512
2025-03-04 22:36:09,59.0,89.932,98.0,98.69359253599869
2025-03-04 22:36:11,59.0,89.746,98.0,98.82486951984026
2025-03-04 22:36:13,59.0,89.932,98.0,99.0491838760214
2025-03-04 22:36:15,59.0,89.56,98.0,98.73466342169617
2025-03-04 22:36:17,59.0,89.746,99.0,99.16264869842709
2025-03-04 22:36:19,59.0,89.932,97.0,98.89327318024645
2025-03-04 22:36:21,59.0,89.746,98.0,98.85818616445103
2025-03-04 22:36:23,59.0,90.118,99.0,99.07311086170235
2025-03-04 22:36:25,59.0,89.746,100.0,99.02521703011458
2025-03-04 22:36:27,59.0,89.56,99.0,98.85992889971972
2025-03-04 22:36:29,59.0,89.56,96.0,98.68416775630982
2025-03-04 22:36:31,59.0,89.746,94.0,98.85880497589046
2025-03-04 22:36:33,59.0,89.56,94.0,98.78894375424366
2025-03-04 22:36:35,59.0,89.746,96.0,98.80322089693708
2025-03-04 22:36:37,59.0,90.118,97.0,99.12954718166861
2025-03-04 22:36:39,59.0,89.56,97.0,99.01153820965332
2025-03-04 22:36:41,59.0,89.746,98.0,98.93547670371959
2025-03-04 22:36:43,59.0,89.746,97.0,98.8910446713264
2025-03-04 22:36:45,59.0,90.118,97.0,98.92881406970092
2025-03-04 22:36:47,59.0,89.746,97.0,98.84536608690307
2025-03-04 22:36:49,59.0,89.746,97.0,98.72697184011322
2025-03-04 22:36:51,59.0,89.932,99.0,98.84891721147893
2025-03-04 22:36:53,59.0,89.56,98.0,98.71291756520357
2025-03-04 22:36:55,59.0,89.374,97.0,98.92762998961844
2025-03-04 22:36:57,59.0,89.56,94.0,99.03241378932695
2025-03-04 22:36:59,59.0,89.932,97.0,99.01967507272164
2025-03-04 22:37:01,59.0,89.746,97.0,98.97322699739183
2025-03-04 22:37:03,59.0,89.56,100.0,98.88821507643263
2025-03-04 22:37:05,59.0,89.932,100.0,99.16962466182981
2025-03-04 22:37:07,59.0,89.746,101.0,98.80487919666055
2025-03-04 22:37:09,59.0,89.932,100.0,98.94888432539643
2025-03-04 22:37:11,59.0,90.118,99.0,99.02174994719482
2025-03-04 22:37:13,59.0,90.118,99.0,98.89182856809258
2025-03-04 22:37:15,59.0,89.56,100.0,98.96245779454762
2025-03-04 22:37:17,59.0,89.932,102.0,98.78718518383704
2025-03-04 22:37:19,59.0,89.56,101.0,98.78371001416498
2025-03-04 22:37:21,59.0,89.932,101.0,99.05299886143241
2025-03-04 22:37:23,59.0,89.56,101.0,98.82459371211588
