Timestamp,Ambient Temperature,SoC Peak Temperature,Power Consumption,Average PE Utilization
2025-02-27 14:43:44,35.0,43.097,34.0,0.0
2025-02-27 14:43:46,35.0,43.283,34.0,0.0
2025-02-27 14:43:48,35.0,43.283,34.0,0.0
2025-02-27 14:43:50,35.0,43.283,34.0,0.0
2025-02-27 14:43:52,35.0,43.097,34.0,0.0
2025-02-27 14:43:54,35.0,43.283,34.0,0.0
2025-02-27 14:43:56,35.0,43.283,34.0,0.0
2025-02-27 14:43:58,35.0,43.469,34.0,0.0
2025-02-27 14:44:00,35.0,43.283,34.0,0.0
2025-02-27 14:44:02,35.0,43.283,34.0,0.0
2025-02-27 14:44:04,35.0,43.097,34.0,0.0
2025-02-27 14:44:06,35.0,43.283,34.0,0.0
2025-02-27 14:44:08,35.0,43.097,34.0,0.0
2025-02-27 14:44:10,35.0,43.283,34.0,0.0
2025-02-27 14:44:12,35.0,43.283,34.0,0.0
2025-02-27 14:44:14,35.0,43.097,34.0,0.0
2025-02-27 14:44:16,35.0,43.283,34.0,0.0
2025-02-27 14:44:18,35.0,43.097,34.0,0.0
2025-02-27 14:44:20,35.0,43.097,34.0,0.0
2025-02-27 14:44:22,35.0,43.097,34.0,0.0
2025-02-27 14:44:24,35.0,43.283,34.0,0.0
2025-02-27 14:44:26,35.0,43.283,34.0,0.0
2025-02-27 14:44:28,35.0,43.097,34.0,0.0
2025-02-27 14:44:30,35.0,43.283,34.0,0.0
2025-02-27 14:44:32,35.0,43.283,34.0,0.0
2025-02-27 14:44:34,35.0,43.097,34.0,0.0
2025-02-27 14:44:36,35.0,43.283,34.0,0.0
2025-02-27 14:44:38,35.0,43.283,34.0,0.0
2025-02-27 14:44:40,35.0,43.283,34.0,0.0
2025-02-27 14:44:42,35.0,43.469,34.0,0.0
2025-02-27 14:44:44,35.0,43.097,34.0,0.0
2025-02-27 14:44:46,35.0,43.283,34.0,0.0
2025-02-27 14:44:48,35.0,43.283,34.0,0.0
2025-02-27 14:44:50,35.0,43.283,34.0,0.0
2025-02-27 14:44:52,35.0,43.097,34.0,0.0
2025-02-27 14:44:54,35.0,43.283,34.0,0.0
2025-02-27 14:44:56,35.0,43.097,34.0,0.0
2025-02-27 14:44:58,35.0,43.283,34.0,0.0
2025-02-27 14:45:00,35.0,43.097,34.0,0.0
2025-02-27 14:45:02,35.0,43.283,34.0,0.0
2025-02-27 14:45:04,35.0,43.283,34.0,0.0
2025-02-27 14:45:06,35.0,43.097,34.0,0.0
2025-02-27 14:45:08,35.0,43.283,34.0,0.0
2025-02-27 14:45:10,35.0,43.469,34.0,0.0
2025-02-27 14:45:12,35.0,43.469,35.0,0.0
2025-02-27 14:45:14,35.0,43.469,36.0,0.0
2025-02-27 14:45:16,35.0,43.469,37.0,0.0
2025-02-27 14:45:18,35.0,43.469,37.0,0.0
2025-02-27 14:45:20,35.0,43.283,37.0,0.0
2025-02-27 14:45:22,35.0,51.031,111.0,97.67551924634076
2025-02-27 14:45:24,35.0,52.332,165.0,97.66270010143342
2025-02-27 14:45:26,35.0,53.076,205.0,97.6817313186943
2025-02-27 14:45:28,35.0,53.695,214.0,97.6810730798464
2025-02-27 14:45:30,35.0,54.191,215.0,97.55015197290965
2025-02-27 14:45:32,35.0,54.606,215.0,97.5989522493647
2025-02-27 14:45:34,35.0,55.163,215.0,97.3513159414804
2025-02-27 14:45:36,35.0,55.535,215.0,97.55520284279349
2025-02-27 14:45:38,35.0,56.051,215.0,97.28700405713445
2025-02-27 14:45:40,35.0,56.465,215.0,97.48899599363487
2025-02-27 14:45:42,35.0,57.023,216.0,97.53003713545505
2025-02-27 14:45:44,35.0,57.581,216.0,97.55767731767895
2025-02-27 14:45:46,35.0,58.082,216.0,97.46058171233487
2025-02-27 14:45:48,36.0,58.138,217.0,97.39552171255286
2025-02-27 14:45:50,36.0,58.696,216.0,97.42718145510699
2025-02-27 14:45:52,36.0,59.068,216.0,97.59706942087433
2025-02-27 14:45:54,36.0,59.626,216.0,97.51830545446806
2025-02-27 14:45:56,36.0,59.998,217.0,97.65144087182927
2025-02-27 14:45:58,36.0,60.313,217.0,97.63918764067367
2025-02-27 14:46:00,36.0,60.927,218.0,97.52708213704238
2025-02-27 14:46:02,36.0,61.299,219.0,97.63214918265987
2025-02-27 14:46:04,36.0,61.671,218.0,97.55918932054067
2025-02-27 14:46:06,37.0,62.043,218.0,97.60050235612941
2025-02-27 14:46:08,37.0,62.229,218.0,97.53601144446834
2025-02-27 14:46:10,37.0,62.787,219.0,97.7380421542683
2025-02-27 14:46:12,37.0,63.302,220.0,97.7922406369595
2025-02-27 14:46:14,37.0,63.902,220.0,97.67786137584102
2025-02-27 14:46:16,37.0,64.274,220.0,97.65580126625507
2025-02-27 14:46:18,37.0,64.646,220.0,97.60153351822366
2025-02-27 14:46:20,37.0,65.018,220.0,97.54060040005317
2025-02-27 14:46:22,38.0,65.39,220.0,97.64280823567672
2025-02-27 14:46:24,38.0,65.761,220.0,97.47717625402097
2025-02-27 14:46:26,38.0,66.133,221.0,97.65972344917516
2025-02-27 14:46:28,38.0,66.505,221.0,97.75301817265257
2025-02-27 14:46:30,38.0,66.877,221.0,97.45351170247335
2025-02-27 14:46:32,38.0,67.249,221.0,97.54627299283945
2025-02-27 14:46:34,39.0,59.644,183.0,0.0
2025-02-27 14:46:36,39.0,58.715,133.0,0.0
2025-02-27 14:46:38,39.0,58.157,42.0,0.0
2025-02-27 14:46:40,39.0,57.971,38.0,0.0
2025-02-27 14:46:42,39.0,57.785,38.0,0.0
2025-02-27 14:46:44,39.0,57.785,38.0,0.0
2025-02-27 14:46:46,40.0,57.599,38.0,0.0
2025-02-27 14:46:48,40.0,57.413,38.0,0.0
2025-02-27 14:46:50,40.0,57.227,38.0,0.0
2025-02-27 14:46:52,40.0,57.227,38.0,0.0
2025-02-27 14:46:54,40.0,57.041,38.0,0.0
2025-02-27 14:46:56,40.0,57.041,38.0,0.0
2025-02-27 14:46:58,40.0,57.041,38.0,0.0
2025-02-27 14:47:00,40.0,57.041,38.0,0.0
2025-02-27 14:47:02,40.0,57.041,38.0,0.0
2025-02-27 14:47:04,41.0,56.67,38.0,0.0
2025-02-27 14:47:06,41.0,56.67,38.0,0.0
2025-02-27 14:47:08,41.0,56.67,38.0,0.0
